"","trial_no","condition","block_no","id","closeness"
"259",10,"control",4,"saulin_01_vp_34",85
"260",10,"control",4,"saulin_01_vp_35",30
"261",10,"control",4,"saulin_01_vp_36",85
"262",10,"control",4,"saulin_01_vp_37",40
"263",10,"control",4,"saulin_01_vp_38",45
"264",10,"control",4,"saulin_01_vp_39",55
"265",10,"control",4,"saulin_01_vp_40",80
"266",10,"control",4,"saulin_01_vp_41",31
"267",10,"control",4,"saulin_01_vp_42",70
"268",10,"control",4,"saulin_01_vp_43",38
"269",10,"control",4,"saulin_01_vp_44",51
"270",10,"control",4,"saulin_01_vp_45",80
"271",10,"control",4,"saulin_01_vp_46",70
"272",10,"control",4,"saulin_01_vp_47",51
"273",10,"control",4,"saulin_01_vp_48",25
"274",10,"control",4,"saulin_01_vp_49",53
"275",10,"control",4,"saulin_01_vp_50",38
"276",10,"control",4,"saulin_01_vp_51",100
"277",10,"decay",2,"saulin_01_vp_01",40
"278",10,"decay",2,"saulin_01_vp_02",90
"279",10,"decay",2,"saulin_01_vp_03",68
"280",10,"decay",2,"saulin_01_vp_04",40
"281",10,"decay",2,"saulin_01_vp_05",70
"282",10,"decay",2,"saulin_01_vp_06",60
"283",10,"decay",2,"saulin_01_vp_10",65
"284",10,"decay",2,"saulin_01_vp_11",48
"285",10,"decay",2,"saulin_01_vp_12",65
"286",10,"decay",2,"saulin_01_vp_14",60
"287",10,"decay",2,"saulin_01_vp_15",35
"288",10,"decay",2,"saulin_01_vp_16",91
"289",10,"decay",2,"saulin_01_vp_17",70
"290",10,"decay",2,"saulin_01_vp_18",75
"291",10,"decay",2,"saulin_01_vp_19",50
"292",10,"decay",2,"saulin_01_vp_20",25
"293",10,"decay",2,"saulin_01_vp_21",35
"294",10,"decay",2,"saulin_01_vp_22",60
"295",10,"decay",2,"saulin_01_vp_23",40
"296",10,"decay",2,"saulin_01_vp_24",15
"297",10,"decay",2,"saulin_01_vp_25",50
"298",10,"decay",2,"saulin_01_vp_26",35
"299",10,"decay",2,"saulin_01_vp_27",60
"300",10,"decay",2,"saulin_01_vp_29",55
"301",10,"decay",2,"saulin_01_vp_30",88
"302",10,"decay",2,"saulin_01_vp_31",20
"303",10,"decay",2,"saulin_01_vp_32",30
"304",10,"decay",2,"saulin_01_vp_33",40
"305",10,"decay",2,"saulin_01_vp_34",25
"306",10,"decay",2,"saulin_01_vp_35",70
"307",10,"decay",2,"saulin_01_vp_36",85
"308",10,"decay",2,"saulin_01_vp_37",55
"309",10,"decay",2,"saulin_01_vp_38",23
"310",10,"decay",2,"saulin_01_vp_39",50
"311",10,"decay",2,"saulin_01_vp_40",75
"312",10,"decay",2,"saulin_01_vp_41",30
"313",10,"decay",2,"saulin_01_vp_42",60
"314",10,"decay",2,"saulin_01_vp_43",40
"315",10,"decay",2,"saulin_01_vp_44",40
"316",10,"decay",2,"saulin_01_vp_45",75
"317",10,"decay",2,"saulin_01_vp_46",75
"318",10,"decay",2,"saulin_01_vp_47",48
"319",10,"decay",2,"saulin_01_vp_48",25
"320",10,"decay",2,"saulin_01_vp_49",80
"321",10,"decay",2,"saulin_01_vp_50",70
"322",10,"decay",2,"saulin_01_vp_51",80
"323",10,"decay",4,"saulin_01_vp_01",30
"324",10,"decay",4,"saulin_01_vp_02",55
"325",10,"decay",4,"saulin_01_vp_03",75
"326",10,"decay",4,"saulin_01_vp_04",40
"327",10,"decay",4,"saulin_01_vp_05",76
"328",10,"decay",4,"saulin_01_vp_06",25
"329",10,"decay",4,"saulin_01_vp_10",70
"330",10,"decay",4,"saulin_01_vp_11",30
"331",10,"decay",4,"saulin_01_vp_12",75
"332",10,"decay",4,"saulin_01_vp_14",46
"333",10,"decay",4,"saulin_01_vp_15",35
"334",10,"decay",4,"saulin_01_vp_16",90
"335",10,"decay",4,"saulin_01_vp_17",75
"336",10,"decay",4,"saulin_01_vp_18",70
"337",10,"decay",4,"saulin_01_vp_19",35
"338",10,"decay",4,"saulin_01_vp_20",30
"339",10,"decay",4,"saulin_01_vp_21",30
"340",10,"decay",4,"saulin_01_vp_22",65
"341",10,"decay",4,"saulin_01_vp_23",31
"342",10,"decay",4,"saulin_01_vp_24",25
"343",10,"decay",4,"saulin_01_vp_25",65
"344",10,"decay",4,"saulin_01_vp_26",50
"345",10,"decay",4,"saulin_01_vp_27",60
"346",10,"decay",4,"saulin_01_vp_29",63
"347",10,"decay",4,"saulin_01_vp_30",90
"348",10,"decay",4,"saulin_01_vp_31",20
"349",10,"decay",4,"saulin_01_vp_32",45
"350",10,"decay",4,"saulin_01_vp_33",41
"351",10,"decay",4,"saulin_01_vp_34",90
"352",10,"decay",4,"saulin_01_vp_35",55
"353",10,"decay",4,"saulin_01_vp_36",86
"354",10,"decay",4,"saulin_01_vp_37",55
"355",10,"decay",4,"saulin_01_vp_38",30
"356",10,"decay",4,"saulin_01_vp_39",50
"357",10,"decay",4,"saulin_01_vp_40",75
"358",10,"decay",4,"saulin_01_vp_41",40
"359",10,"decay",4,"saulin_01_vp_42",65
"360",10,"decay",4,"saulin_01_vp_43",51
"361",10,"decay",4,"saulin_01_vp_44",35
"362",10,"decay",4,"saulin_01_vp_45",65
"363",10,"decay",4,"saulin_01_vp_46",70
"364",10,"decay",4,"saulin_01_vp_47",45
"365",10,"decay",4,"saulin_01_vp_48",26
"366",10,"decay",4,"saulin_01_vp_49",75
"367",10,"decay",4,"saulin_01_vp_50",60
"368",10,"decay",4,"saulin_01_vp_51",100
"369",11,"control",2,"saulin_01_vp_01",30
"370",11,"control",2,"saulin_01_vp_02",60
"371",11,"control",2,"saulin_01_vp_03",75
"372",11,"control",2,"saulin_01_vp_04",40
"373",11,"control",2,"saulin_01_vp_05",60
"374",11,"control",2,"saulin_01_vp_06",43
"375",11,"control",2,"saulin_01_vp_10",71
"376",11,"control",2,"saulin_01_vp_11",20
"377",11,"control",2,"saulin_01_vp_12",73
"378",11,"control",2,"saulin_01_vp_14",75
"379",11,"control",2,"saulin_01_vp_15",50
"380",11,"control",2,"saulin_01_vp_16",80
"381",11,"control",2,"saulin_01_vp_17",75
"382",11,"control",2,"saulin_01_vp_18",63
"383",11,"control",2,"saulin_01_vp_19",50
"384",11,"control",2,"saulin_01_vp_20",35
"385",11,"control",2,"saulin_01_vp_21",60
"386",11,"control",2,"saulin_01_vp_22",50
"387",11,"control",2,"saulin_01_vp_23",51
"388",11,"control",2,"saulin_01_vp_24",55
"389",11,"control",2,"saulin_01_vp_25",45
"390",11,"control",2,"saulin_01_vp_26",50
"391",11,"control",2,"saulin_01_vp_27",55
"392",11,"control",2,"saulin_01_vp_29",75
"393",11,"control",2,"saulin_01_vp_30",90
"394",11,"control",2,"saulin_01_vp_31",15
"395",11,"control",2,"saulin_01_vp_32",43
"396",11,"control",2,"saulin_01_vp_33",40
"397",11,"control",2,"saulin_01_vp_34",70
"398",11,"control",2,"saulin_01_vp_35",40
"399",11,"control",2,"saulin_01_vp_36",85
"400",11,"control",2,"saulin_01_vp_37",41
"401",11,"control",2,"saulin_01_vp_38",50
"402",11,"control",2,"saulin_01_vp_39",55
"403",11,"control",2,"saulin_01_vp_40",75
"404",11,"control",2,"saulin_01_vp_41",35
"405",11,"control",2,"saulin_01_vp_42",80
"406",11,"control",2,"saulin_01_vp_43",45
"407",11,"control",2,"saulin_01_vp_44",45
"408",11,"control",2,"saulin_01_vp_45",85
"409",11,"control",2,"saulin_01_vp_46",80
"410",11,"control",2,"saulin_01_vp_47",50
"411",11,"control",2,"saulin_01_vp_48",28
"412",11,"control",2,"saulin_01_vp_49",55
"413",11,"control",2,"saulin_01_vp_50",50
"414",11,"control",2,"saulin_01_vp_51",100
"415",11,"control",4,"saulin_01_vp_01",20
"416",11,"control",4,"saulin_01_vp_02",60
"417",11,"control",4,"saulin_01_vp_03",70
"418",11,"control",4,"saulin_01_vp_04",41
"419",11,"control",4,"saulin_01_vp_05",55
"420",11,"control",4,"saulin_01_vp_06",35
"421",11,"control",4,"saulin_01_vp_10",85
"422",11,"control",4,"saulin_01_vp_11",65
"423",11,"control",4,"saulin_01_vp_12",70
"424",11,"control",4,"saulin_01_vp_14",65
"425",11,"control",4,"saulin_01_vp_15",46
"426",11,"control",4,"saulin_01_vp_16",90
"427",11,"control",4,"saulin_01_vp_17",75
"428",11,"control",4,"saulin_01_vp_18",70
"429",11,"control",4,"saulin_01_vp_19",38
"430",11,"control",4,"saulin_01_vp_20",15
"431",11,"control",4,"saulin_01_vp_21",45
"432",11,"control",4,"saulin_01_vp_22",55
"433",11,"control",4,"saulin_01_vp_23",35
"434",11,"control",4,"saulin_01_vp_24",20
"435",11,"control",4,"saulin_01_vp_25",43
"436",11,"control",4,"saulin_01_vp_26",35
"437",11,"control",4,"saulin_01_vp_27",60
"438",11,"control",4,"saulin_01_vp_29",73
"439",11,"control",4,"saulin_01_vp_30",90
"440",11,"control",4,"saulin_01_vp_31",36
"441",11,"control",4,"saulin_01_vp_32",40
"442",11,"control",4,"saulin_01_vp_33",40
"443",11,"control",4,"saulin_01_vp_34",35
"444",11,"control",4,"saulin_01_vp_35",45
"445",11,"control",4,"saulin_01_vp_36",85
"446",11,"control",4,"saulin_01_vp_37",40
"447",11,"control",4,"saulin_01_vp_38",45
"448",11,"control",4,"saulin_01_vp_39",41
"449",11,"control",4,"saulin_01_vp_40",80
"450",11,"control",4,"saulin_01_vp_41",30
"451",11,"control",4,"saulin_01_vp_42",73
"452",11,"control",4,"saulin_01_vp_43",45
"453",11,"control",4,"saulin_01_vp_44",45
"454",11,"control",4,"saulin_01_vp_45",75
"455",11,"control",4,"saulin_01_vp_46",75
"456",11,"control",4,"saulin_01_vp_47",48
"457",11,"control",4,"saulin_01_vp_48",30
"458",11,"control",4,"saulin_01_vp_49",40
"459",11,"control",4,"saulin_01_vp_50",35
"460",11,"control",4,"saulin_01_vp_51",100
"461",11,"decay",2,"saulin_01_vp_01",35
"462",11,"decay",2,"saulin_01_vp_02",55
"463",11,"decay",2,"saulin_01_vp_03",81
"464",11,"decay",2,"saulin_01_vp_04",45
"465",11,"decay",2,"saulin_01_vp_05",70
"466",11,"decay",2,"saulin_01_vp_06",60
"467",11,"decay",2,"saulin_01_vp_10",65
"468",11,"decay",2,"saulin_01_vp_11",56
"469",11,"decay",2,"saulin_01_vp_12",75
"470",11,"decay",2,"saulin_01_vp_14",65
"471",11,"decay",2,"saulin_01_vp_15",30
"472",11,"decay",2,"saulin_01_vp_16",90
"473",11,"decay",2,"saulin_01_vp_17",75
"474",11,"decay",2,"saulin_01_vp_18",75
"475",11,"decay",2,"saulin_01_vp_19",45
"476",11,"decay",2,"saulin_01_vp_20",31
"477",11,"decay",2,"saulin_01_vp_21",35
"478",11,"decay",2,"saulin_01_vp_22",55
"479",11,"decay",2,"saulin_01_vp_23",35
"480",11,"decay",2,"saulin_01_vp_24",21
"481",11,"decay",2,"saulin_01_vp_25",61
"482",11,"decay",2,"saulin_01_vp_26",35
"483",11,"decay",2,"saulin_01_vp_27",50
"484",11,"decay",2,"saulin_01_vp_29",55
"485",11,"decay",2,"saulin_01_vp_30",90
"486",11,"decay",2,"saulin_01_vp_31",18
"487",11,"decay",2,"saulin_01_vp_32",45
"488",11,"decay",2,"saulin_01_vp_33",45
"489",11,"decay",2,"saulin_01_vp_34",25
"490",11,"decay",2,"saulin_01_vp_35",40
"491",11,"decay",2,"saulin_01_vp_36",85
"492",11,"decay",2,"saulin_01_vp_37",46
"493",11,"decay",2,"saulin_01_vp_38",23
"494",11,"decay",2,"saulin_01_vp_39",31
"495",11,"decay",2,"saulin_01_vp_40",70
"496",11,"decay",2,"saulin_01_vp_41",28
"497",11,"decay",2,"saulin_01_vp_42",63
"498",11,"decay",2,"saulin_01_vp_43",35
"499",11,"decay",2,"saulin_01_vp_44",60
"500",11,"decay",2,"saulin_01_vp_45",80
"501",11,"decay",2,"saulin_01_vp_46",70
"502",11,"decay",2,"saulin_01_vp_47",40
"503",11,"decay",2,"saulin_01_vp_48",30
"504",11,"decay",2,"saulin_01_vp_49",70
"505",11,"decay",2,"saulin_01_vp_50",75
"506",11,"decay",2,"saulin_01_vp_51",35
"507",11,"decay",4,"saulin_01_vp_01",35
"508",11,"decay",4,"saulin_01_vp_02",53
"509",11,"decay",4,"saulin_01_vp_03",80
"510",11,"decay",4,"saulin_01_vp_04",35
"511",11,"decay",4,"saulin_01_vp_05",80
"512",11,"decay",4,"saulin_01_vp_06",30
"513",11,"decay",4,"saulin_01_vp_10",70
"514",11,"decay",4,"saulin_01_vp_11",20
"515",11,"decay",4,"saulin_01_vp_12",75
"516",11,"decay",4,"saulin_01_vp_14",50
"517",11,"decay",4,"saulin_01_vp_15",35
"518",11,"decay",4,"saulin_01_vp_16",90
"519",11,"decay",4,"saulin_01_vp_17",75
