"","trial_no","condition","block_no","id","closeness"
"353",4,"empathy_control",4,"md_as_02",62
"354",4,"empathy_control",4,"md_as_04",31
"355",4,"empathy_control",4,"md_as_05",67
"356",4,"empathy_control",4,"md_as_06",57
"357",4,"empathy_control",4,"md_as_07",85
"358",4,"empathy_control",4,"md_as_08",62
"359",4,"empathy_control",4,"md_as_09",71
"360",4,"empathy_control",4,"md_as_10",44
"361",4,"empathy_control",4,"md_as_11",73
"362",4,"empathy_control",4,"md_as_23",11
"363",4,"empathy_control",4,"md_as_24",16
"364",4,"empathy_control",4,"md_as_25",78
"365",4,"empathy_control",4,"md_as_26",48
"366",4,"empathy_control",4,"md_as_27",51
"367",4,"empathy_control",4,"md_as_28",48
"368",4,"empathy_control",4,"md_as_29",41
"369",4,"empathy_control",4,"md_as_39",22
"370",4,"empathy_control",4,"md_as_43",30
"371",4,"empathy_control",4,"md_as_44",55
"372",4,"empathy_control",4,"md_as_45",63
"373",4,"empathy_control",4,"md_as_46",80
"374",4,"empathy_control",4,"md_as_51",61
"375",4,"empathy_control",4,"md_as_56",56
"376",4,"empathy_control",4,"md_as_57",58
"377",4,"empathy_control",4,"md_as_58",49
"378",4,"empathy_control",4,"md_as_59",15
"379",4,"empathy_decay",2,"md_as_01",27
"380",4,"empathy_decay",2,"md_as_02",59
"381",4,"empathy_decay",2,"md_as_04",28
"382",4,"empathy_decay",2,"md_as_05",26
"383",4,"empathy_decay",2,"md_as_06",61
"384",4,"empathy_decay",2,"md_as_07",96
"385",4,"empathy_decay",2,"md_as_08",50
"386",4,"empathy_decay",2,"md_as_09",56
"387",4,"empathy_decay",2,"md_as_10",31
"388",4,"empathy_decay",2,"md_as_11",68
"389",4,"empathy_decay",2,"md_as_23",21
"390",4,"empathy_decay",2,"md_as_24",42
"391",4,"empathy_decay",2,"md_as_25",53
"392",4,"empathy_decay",2,"md_as_26",30
"393",4,"empathy_decay",2,"md_as_27",31
"394",4,"empathy_decay",2,"md_as_28",0
"395",4,"empathy_decay",2,"md_as_29",20
"396",4,"empathy_decay",2,"md_as_39",12
"397",4,"empathy_decay",2,"md_as_43",46
"398",4,"empathy_decay",2,"md_as_44",68
"399",4,"empathy_decay",2,"md_as_45",70
"400",4,"empathy_decay",2,"md_as_46",83
"401",4,"empathy_decay",2,"md_as_51",64
"402",4,"empathy_decay",2,"md_as_56",54
"403",4,"empathy_decay",2,"md_as_57",52
"404",4,"empathy_decay",2,"md_as_58",58
"405",4,"empathy_decay",2,"md_as_59",14
"406",4,"empathy_decay",4,"md_as_01",54
"407",4,"empathy_decay",4,"md_as_02",54
"408",4,"empathy_decay",4,"md_as_04",30
"409",4,"empathy_decay",4,"md_as_05",48
"410",4,"empathy_decay",4,"md_as_06",56
"411",4,"empathy_decay",4,"md_as_07",80
"412",4,"empathy_decay",4,"md_as_08",49
"413",4,"empathy_decay",4,"md_as_09",72
"414",4,"empathy_decay",4,"md_as_10",47
"415",4,"empathy_decay",4,"md_as_11",62
"416",4,"empathy_decay",4,"md_as_23",10
"417",4,"empathy_decay",4,"md_as_24",29
"418",4,"empathy_decay",4,"md_as_25",32
"419",4,"empathy_decay",4,"md_as_26",69
"420",4,"empathy_decay",4,"md_as_27",35
"421",4,"empathy_decay",4,"md_as_28",24
"422",4,"empathy_decay",4,"md_as_29",35
"423",4,"empathy_decay",4,"md_as_39",23
"424",4,"empathy_decay",4,"md_as_43",41
"425",4,"empathy_decay",4,"md_as_44",21
