"","condition","block_no","trial_type","id","choice_val.mean"
"164","control","4","2","saulin_01_vp_31",79.5384615384615
"165","control","4","2","saulin_01_vp_32",81.4615384615385
"166","control","4","2","saulin_01_vp_33",81.6923076923077
"167","control","4","2","saulin_01_vp_34",77.6153846153846
"168","control","4","2","saulin_01_vp_35",71.0769230769231
"169","control","4","2","saulin_01_vp_36",46.8461538461538
"170","control","4","2","saulin_01_vp_37",58.6923076923077
"171","control","4","2","saulin_01_vp_38",35.9230769230769
"172","control","4","2","saulin_01_vp_39",46.1538461538462
"173","control","4","2","saulin_01_vp_40",30.6923076923077
"174","control","4","2","saulin_01_vp_41",55.5384615384615
"175","control","4","2","saulin_01_vp_42",37.3846153846154
"176","control","4","2","saulin_01_vp_43",48.4615384615385
"177","control","4","2","saulin_01_vp_44",42.9230769230769
"178","control","4","2","saulin_01_vp_45",52.5384615384615
"179","control","4","2","saulin_01_vp_46",78.6153846153846
"180","control","4","2","saulin_01_vp_47",33.5384615384615
"181","control","4","2","saulin_01_vp_48",78.6153846153846
"182","control","4","2","saulin_01_vp_49",63.0769230769231
"183","control","4","2","saulin_01_vp_50",39.0769230769231
"184","control","4","2","saulin_01_vp_51",43.0769230769231
"185","decay","2","1","saulin_01_vp_01",25.45
"186","decay","2","1","saulin_01_vp_02",48.3
"187","decay","2","1","saulin_01_vp_03",35.8
"188","decay","2","1","saulin_01_vp_04",43.25
"189","decay","2","1","saulin_01_vp_05",43.75
"190","decay","2","1","saulin_01_vp_06",13
"191","decay","2","1","saulin_01_vp_10",42.65
"192","decay","2","1","saulin_01_vp_11",17.7
"193","decay","2","1","saulin_01_vp_12",53.05
"194","decay","2","1","saulin_01_vp_14",31.5
"195","decay","2","1","saulin_01_vp_15",2.2
"196","decay","2","1","saulin_01_vp_16",22.65
"197","decay","2","1","saulin_01_vp_17",20.75
"198","decay","2","1","saulin_01_vp_18",29.8
"199","decay","2","1","saulin_01_vp_19",12.9
"200","decay","2","1","saulin_01_vp_20",32.75
"201","decay","2","1","saulin_01_vp_21",8.05
"202","decay","2","1","saulin_01_vp_22",24.35
"203","decay","2","1","saulin_01_vp_23",19.2
"204","decay","2","1","saulin_01_vp_24",29.85
"205","decay","2","1","saulin_01_vp_25",22.1
"206","decay","2","1","saulin_01_vp_26",24.4
"207","decay","2","1","saulin_01_vp_27",39.1
"208","decay","2","1","saulin_01_vp_29",47.15
"209","decay","2","1","saulin_01_vp_30",48.6
"210","decay","2","1","saulin_01_vp_31",36.2
"211","decay","2","1","saulin_01_vp_32",36.7
"212","decay","2","1","saulin_01_vp_33",73
"213","decay","2","1","saulin_01_vp_34",21.65
"214","decay","2","1","saulin_01_vp_35",15.25
"215","decay","2","1","saulin_01_vp_36",10.15
