"","condition","block_no","trial_no","trial_type","rt","emotion_rating","id","closeness","betas_PM_wtreatMINcon_TPJ","betas_PM_wtreatMINcon_IFG","facet","score"
"55","treatment","block 1",3,"1","3491",0.0821520916597754,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"56","treatment","block 1",3,"1","3491",0.0821520916597754,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"57","treatment","block 1",4,"1","2953",-0.0920554093820444,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"58","treatment","block 1",4,"1","2953",-0.0920554093820444,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"59","treatment","block 1",5,"1","3022",0.12570396692023,"saulin_01_vp_02",0.039785335496389,0.62036,0.52128,"EC",0.71871279328083
"60","treatment","block 1",5,"1","3022",0.12570396692023,"saulin_01_vp_02",0.039785335496389,0.62036,0.52128,"PT",1.02068217730876
"61","treatment","block 1",6,"1","2782",-0.0920554093820444,"saulin_01_vp_02",0.136183830773392,0.62036,0.52128,"EC",0.71871279328083
"62","treatment","block 1",6,"1","2782",-0.0920554093820444,"saulin_01_vp_02",0.136183830773392,0.62036,0.52128,"PT",1.02068217730876
"63","treatment","block 1",7,"1","4195",-0.0920554093820444,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"64","treatment","block 1",7,"1","4195",-0.0920554093820444,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"65","treatment","block 1",8,"1","1924",-0.0920554093820444,"saulin_01_vp_02",-0.29760939797312,0.62036,0.52128,"EC",0.71871279328083
"66","treatment","block 1",8,"1","1924",-0.0920554093820444,"saulin_01_vp_02",-0.29760939797312,0.62036,0.52128,"PT",1.02068217730876
"67","treatment","block 1",9,"2","2642",0.12570396692023,"saulin_01_vp_02",-0.29760939797312,0.62036,0.52128,"EC",0.71871279328083
"68","treatment","block 1",9,"2","2642",0.12570396692023,"saulin_01_vp_02",-0.29760939797312,0.62036,0.52128,"PT",1.02068217730876
"69","treatment","block 1",10,"1","2927",0.12570396692023,"saulin_01_vp_02",-1.74358682712816,0.62036,0.52128,"EC",0.71871279328083
"70","treatment","block 1",10,"1","2927",0.12570396692023,"saulin_01_vp_02",-1.74358682712816,0.62036,0.52128,"PT",1.02068217730876
"71","treatment","block 1",11,"2","1986",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"72","treatment","block 1",11,"2","1986",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"73","treatment","block 1",12,"1","4512",-0.00495165886113449,"saulin_01_vp_02",0.039785335496389,0.62036,0.52128,"EC",0.71871279328083
"74","treatment","block 1",12,"1","4512",-0.00495165886113449,"saulin_01_vp_02",0.039785335496389,0.62036,0.52128,"PT",1.02068217730876
"75","treatment","block 1",13,"1","1709",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
"76","treatment","block 1",13,"1","1709",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"PT",1.02068217730876
"77","treatment","block 1",14,"1","3037",0.12570396692023,"saulin_01_vp_02",-0.0566131597806136,0.62036,0.52128,"EC",0.71871279328083
