"","condition","block_no","trial_no","trial_type","rt","emotion_rating","id","EC","PT","sample","closeness"
"81","control","block 2",6,"2","2944",0.854700419939924,"md_as_01",1.71550299631138,21,"behavior",-0.418506978618442
"82","control","block 2",7,"1","3412",-1.23846072525325,"md_as_01",1.71550299631138,21,"behavior",-0.511321372825169
"83","control","block 2",8,"2","3435",1.19721769824426,"md_as_01",1.71550299631138,21,"behavior",-0.0472494017915355
"84","control","block 2",9,"1","3461",-0.934000922316064,"md_as_01",1.71550299631138,21,"behavior",-0.186470993101625
"85","control","block 2",10,"2","1230",1.5397349765486,"md_as_01",1.71550299631138,21,"behavior",-0.0936565988948988
"86","control","block 2",11,"1","1141",-1.46680557745615,"md_as_01",1.71550299631138,21,"behavior",0.0919721895185544
"87","control","block 2",12,"1","2535",0.854700419939924,"md_as_01",1.71550299631138,21,"behavior",0.416822569242098
"88","control","block 2",13,"1","3347",-0.972058397683213,"md_as_01",1.71550299631138,21,"behavior",-0.0472494017915355
"89","control","block 2",14,"2","3302",1.15916022287711,"md_as_01",1.71550299631138,21,"behavior",-0.000842204688172226
"90","control","block 2",15,"1","4532",-1.2004032498861,"md_as_01",1.71550299631138,21,"behavior",-0.186470993101625
"91","control","block 2",16,"2","2500",1.23527517361141,"md_as_01",1.71550299631138,21,"behavior",-0.186470993101625
"92","control","block 2",17,"1","3539",-1.12428829915181,"md_as_01",1.71550299631138,21,"behavior",-0.0472494017915355
"93","control","block 2",18,"1","2922",-0.857885971581767,"md_as_01",1.71550299631138,21,"behavior",-0.279285387308352
"94","control","block 2",19,"2","1870",1.5397349765486,"md_as_01",1.71550299631138,21,"behavior",0.556044160552188
"95","control","block 2",20,"2","1214",1.5397349765486,"md_as_01",1.71550299631138,21,"behavior",-0.232878190204989
"96","control","block 2",21,"1","1598",-1.2765182006204,"md_as_01",1.71550299631138,21,"behavior",-0.140063795998262
"97","control","block 2",22,"2","5091",0.930815370674221,"md_as_01",1.71550299631138,21,"behavior",0.324008175035371
"98","control","block 2",23,"1","1915",-1.428748102089,"md_as_01",1.71550299631138,21,"behavior",0.324008175035371
"99","control","block 2",24,"2","1281",1.73002235338434,"md_as_01",1.71550299631138,21,"behavior",-0.279285387308352
"100","control","block 2",25,"2","3495",1.19721769824426,"md_as_01",1.71550299631138,21,"behavior",-0.0936565988948988
"101","control","block 1",1,"1","1138",-0.934000922316064,"md_as_02",-0.498189001454062,16,"behavior",-0.0936565988948988
"102","control","block 1",2,"2","3766",0.131608387964099,"md_as_02",-0.498189001454062,16,"behavior",0.324008175035371
"103","control","block 1",3,"1","3567",-0.895943446948915,"md_as_02",-0.498189001454062,16,"behavior",0.370415372138734
"104","control","block 1",4,"2","4922",-0.0206215135044958,"md_as_02",-0.498189001454062,16,"behavior",0.602451357655551
"105","control","block 1",5,"1","3349",-1.01011587305036,"md_as_02",-0.498189001454062,16,"behavior",0.509636963448824
"106","control","block 1",6,"2","5237",0.131608387964099,"md_as_02",-0.498189001454062,16,"behavior",0.277600977932008
"107","control","block 1",7,"1","3145",-0.705656070113172,"md_as_02",-0.498189001454062,16,"behavior",0.695265751862277
"108","control","block 1",8,"2","3001",-0.287023841074536,"md_as_02",-0.498189001454062,16,"behavior",0.324008175035371
"109","control","block 1",9,"1","2716",-0.934000922316064,"md_as_02",-0.498189001454062,16,"behavior",0.370415372138734
"110","control","block 1",10,"2","3552",-0.0586789888716444,"md_as_02",-0.498189001454062,16,"behavior",0.509636963448824
"111","control","block 1",11,"1","3863",-1.16234577451896,"md_as_02",-0.498189001454062,16,"behavior",0.602451357655551
"112","control","block 1",12,"1","3521",-1.08623082378466,"md_as_02",-0.498189001454062,16,"behavior",0.602451357655551
"113","control","block 1",13,"2","497",-1.58097800355759,"md_as_02",-0.498189001454062,16,"behavior",0.556044160552188
"114","control","block 1",14,"2","2803",-0.819828496214618,"md_as_02",-0.498189001454062,16,"behavior",0.973708934482457
"115","control","block 1",15,"1","3587",-1.04817334841751,"md_as_02",-0.498189001454062,16,"behavior",0.880894540275731
"116","control","block 1",16,"2","2417",-0.781771020847469,"md_as_02",-0.498189001454062,16,"behavior",0.695265751862277
"117","control","block 1",17,"1","4402",-1.08623082378466,"md_as_02",-0.498189001454062,16,"behavior",0.602451357655551
"118","control","block 1",18,"1","3772",-1.50486305282329,"md_as_02",-0.498189001454062,16,"behavior",0.834487343172367
"119","control","block 1",19,"2","2700",-0.667598594746023,"md_as_02",-0.498189001454062,16,"behavior",1.39137370841273
"120","control","block 1",20,"2","2231",-0.781771020847469,"md_as_02",-0.498189001454062,16,"behavior",1.34496651130936
"121","control","block 1",21,"1","3668",-1.23846072525325,"md_as_02",-0.498189001454062,16,"behavior",0.741672948965641
"122","control","block 1",22,"2","3570",-1.16234577451896,"md_as_02",-0.498189001454062,16,"behavior",0.880894540275731
"123","control","block 1",23,"1","2049",-1.2004032498861,"md_as_02",-0.498189001454062,16,"behavior",0.927301737379094
"124","control","block 1",24,"2","5439",-1.01011587305036,"md_as_02",-0.498189001454062,16,"behavior",1.11293052579255
"125","control","block 1",25,"2","2362",-0.667598594746023,"md_as_02",-0.498189001454062,16,"behavior",1.06652332868918
"126","control","block 2",1,"1","3116",-0.47731121791028,"md_as_02",-0.498189001454062,16,"behavior",0.184786583725281
"127","control","block 2",2,"2","4384",-0.363138791808834,"md_as_02",-0.498189001454062,16,"behavior",0.695265751862277
"128","control","block 2",3,"1","3636",-0.743713545480321,"md_as_02",-0.498189001454062,16,"behavior",0.184786583725281
"129","control","block 2",4,"2","3179",-0.743713545480321,"md_as_02",-0.498189001454062,16,"behavior",0.648858554758914
"130","control","block 2",5,"1","3133",-1.2765182006204,"md_as_02",-0.498189001454062,16,"behavior",0.788080146069004
"131","control","block 2",6,"2","4136",-0.819828496214618,"md_as_02",-0.498189001454062,16,"behavior",1.25215211710264
"132","control","block 2",7,"1","3576",-1.04817334841751,"md_as_02",-0.498189001454062,16,"behavior",0.788080146069004
"133","control","block 2",8,"2","3903",-0.781771020847469,"md_as_02",-0.498189001454062,16,"behavior",0.973708934482457
"134","control","block 2",9,"1","3520",-0.972058397683213,"md_as_02",-0.498189001454062,16,"behavior",0.370415372138734
"135","control","block 2",10,"2","4255",-1.01011587305036,"md_as_02",-0.498189001454062,16,"behavior",0.927301737379094
"136","control","block 2",11,"1","4346",-1.23846072525325,"md_as_02",-0.498189001454062,16,"behavior",1.20574491999927
"137","control","block 2",12,"1","2924",-1.2765182006204,"md_as_02",-0.498189001454062,16,"behavior",0.927301737379094
"138","control","block 2",13,"1","3733",-1.23846072525325,"md_as_02",-0.498189001454062,16,"behavior",0.973708934482457
