"","condition","block_no","trial_no","trial_type","rt","closeness","id","emotion_rating","closeness","pos_PNR"
"824","treatment","block 1",17,"2",2649,57,"md_as_13",0.0578758633396926,0.916116816607885,-0.374870528173274
"831","treatment","block 1",18,"1",3330,61,"md_as_13",0.21692403740297,-0.328602799217435,-0.374870528173274
"838","treatment","block 1",19,"1",2157,82,"md_as_13",1.05192695123518,0.529824522041406,-0.374870528173274
"845","treatment","block 1",20,"1",3828,73,"md_as_13",0.694068559592802,0.701509986293174,-0.374870528173274
"852","treatment","block 1",21,"2",2720,38,"md_as_13",-0.697602963460875,1.00195954873377,-0.374870528173274
"859","treatment","block 1",22,"1",1990,39,"md_as_13",-0.657840919945056,-0.071074602839783,-0.374870528173274
"866","treatment","block 1",23,"1",3017,67,"md_as_13",0.455496298497886,0.0576894953490432,-0.374870528173274
"873","treatment","block 1",24,"1",3712,74,"md_as_13",0.733830603108622,0.658588620230232,-0.374870528173274
"880","treatment","block 1",25,"1",2242,80,"md_as_13",0.972402864203538,0.486903155978464,-0.374870528173274
"888","treatment","block 2",1,"2",3362,42,"md_as_13",-0.538554789397598,0.358139057789638,-0.374870528173274
"895","treatment","block 2",2,"1",3400,54,"md_as_13",-0.0614102672077654,0.315217691726696,-0.374870528173274
"902","treatment","block 2",3,"2",2756,31,"md_as_13",-0.975937268071611,0.658588620230232,-0.374870528173274
"909","treatment","block 2",4,"2",4414,35,"md_as_13",-0.816889094008333,0.40106042385258,-0.374870528173274
"916","treatment","block 2",5,"2",5526,27,"md_as_13",-1.13498544213489,-0.028153236776841,-0.374870528173274
"923","treatment","block 2",6,"2",3992,27,"md_as_13",-1.13498544213489,-0.62905236165803,-0.374870528173274
"930","treatment","block 2",7,"2",3423,23,"md_as_13",-1.29403361619817,-0.671973727720972,-0.374870528173274
"937","treatment","block 2",8,"2",2539,26,"md_as_13",-1.17474748565071,-0.62905236165803,-0.374870528173274
"944","treatment","block 2",9,"1",3509,29,"md_as_13",-1.05546135510325,-0.84365919197274,-0.374870528173274
"951","treatment","block 2",10,"2",4024,24,"md_as_13",-1.25427157268235,-1.6162437811057,-0.374870528173274
"958","treatment","block 2",11,"1",2945,37,"md_as_13",-0.737365006976694,-0.929501924098624,-0.374870528173274
"965","treatment","block 2",12,"2",2235,14,"md_as_13",-1.65189200784054,-0.714895093783914,-0.374870528173274
"972","treatment","block 2",13,"2",3344,22,"md_as_13",-1.33379565971398,-1.01534465622451,-0.374870528173274
"979","treatment","block 2",14,"2",5006,20,"md_as_13",-1.41331974674562,-1.22995148653922,-0.374870528173274
"986","treatment","block 2",15,"2",4005,24,"md_as_13",-1.25427157268235,-1.53040104897981,-0.374870528173274
"993","treatment","block 2",16,"2",3325,20,"md_as_13",-1.41331974674562,-0.929501924098624,-0.374870528173274
"1000","treatment","block 2",17,"1",3652,31,"md_as_13",-0.975937268071611,-1.18703012047628,-0.374870528173274
"1007","treatment","block 2",18,"2",3872,27,"md_as_13",-1.13498544213489,-0.84365919197274,-0.374870528173274
"1014","treatment","block 2",19,"2",1738,25,"md_as_13",-1.21450952916653,-0.714895093783914,-0.374870528173274
"1021","treatment","block 2",20,"2",3663,27,"md_as_13",-1.13498544213489,-0.757816459846856,-0.374870528173274
"1028","treatment","block 2",21,"1",2821,29,"md_as_13",-1.05546135510325,-0.972423290161566,-0.374870528173274
"1035","treatment","block 2",22,"2",2666,23,"md_as_13",-1.29403361619817,-1.05826602228745,-0.374870528173274
"1042","treatment","block 2",23,"2",4316,27,"md_as_13",-1.13498544213489,-1.01534465622451,-0.374870528173274
"1049","treatment","block 2",24,"2",3236,21,"md_as_13",-1.3735577032298,-1.3157942186651,-0.374870528173274
"1056","treatment","block 2",25,"2",3931,22,"md_as_13",-1.33379565971398,-1.01534465622451,-0.374870528173274
"1064","control","block 1",1,"1",3012,78,"md_as_13",0.892878777171899,-0.84365919197274,-0.374870528173274
"1071","control","block 1",2,"2",3025,32,"md_as_13",-0.936175224555791,-0.028153236776841,-0.374870528173274
"1078","control","block 1",3,"1",4235,68,"md_as_13",0.495258342013705,-0.586130995595088,-0.374870528173274
"1085","control","block 1",4,"2",2776,35,"md_as_13",-0.816889094008333,-0.41444553134332,-0.374870528173274
"1092","control","block 1",5,"1",3448,36,"md_as_13",-0.777127050492514,-0.285681433154493,-0.374870528173274
"1099","control","block 1",6,"2",3890,41,"md_as_13",-0.578316832913417,-0.371524165280378,-0.374870528173274
"1106","control","block 1",7,"1",4694,45,"md_as_13",-0.41926865885014,-0.500288263469204,-0.374870528173274
"1113","control","block 1",8,"2",3882,32,"md_as_13",-0.936175224555791,-0.113995968902725,-0.374870528173274
"1120","control","block 1",9,"1",2266,53,"md_as_13",-0.101172310723585,-0.972423290161566,-0.374870528173274
"1127","control","block 1",10,"2",5396,37,"md_as_13",-0.737365006976694,-0.543209629532146,-0.374870528173274
"1134","control","block 1",11,"1",2987,64,"md_as_13",0.336210167950428,-1.35871558472804,-0.374870528173274
"1141","control","block 1",12,"1",3190,60,"md_as_13",0.177161993887151,-0.071074602839783,-0.374870528173274
"1148","control","block 1",13,"2",3828,48,"md_as_13",-0.299982528302682,-0.457366897406262,-0.374870528173274
"1155","control","block 1",14,"2",3695,48,"md_as_13",-0.299982528302682,-0.328602799217435,-0.374870528173274
"1162","control","block 1",15,"1",5962,47,"md_as_13",-0.339744571818501,-0.113995968902725,-0.374870528173274
"1169","control","block 1",16,"2",3561,40,"md_as_13",-0.618078876429236,-0.328602799217435,-0.374870528173274
