"","condition","block_no","trial_type","id","choice_val.mean"
"205","treatment",4,2,"md_as_28",74.75
"206","treatment",4,2,"md_as_29",43.35
"207","treatment",4,2,"md_as_39",89.35
"208","treatment",4,2,"md_as_43",64.6
"209","treatment",4,2,"md_as_44",69.7
"210","treatment",4,2,"md_as_45",72.85
"211","treatment",4,2,"md_as_46",82.2
"212","treatment",4,2,"md_as_51",58.75
"213","treatment",4,2,"md_as_56",76.65
"214","treatment",4,2,"md_as_57",76.55
"215","treatment",4,2,"md_as_58",76.6
"216","treatment",4,2,"md_as_59",68.6
