"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_loss","sample"
"273",1,3,"6","2887",0,"md_as_02","empathy","control",40,"lab"
"274",1,3,"7","2311",0,"md_as_02","empathy","control",60,"lab"
"275",1,3,"8","2445",1,"md_as_02","empathy","control",240,"lab"
"276",1,3,"9","2814",1,"md_as_02","empathy","control",360,"lab"
"277",1,3,"10","3851",1,"md_as_02","empathy","control",380,"lab"
"278",1,3,"11","1942",1,"md_as_02","empathy","control",360,"lab"
"279",1,3,"12","2049",1,"md_as_02","empathy","control",240,"lab"
"280",1,3,"13","1931",1,"md_as_02","empathy","control",120,"lab"
"281",1,3,"14","2387",1,"md_as_02","empathy","control",300,"lab"
"282",1,3,"15","2700",0,"md_as_02","empathy","control",100,"lab"
"283",1,3,"16","2083",1,"md_as_02","empathy","control",380,"lab"
"284",1,3,"17","2061",0,"md_as_02","empathy","control",100,"lab"
"285",1,3,"18","2353",1,"md_as_02","empathy","control",300,"lab"
"286",1,3,"19","1524",1,"md_as_02","empathy","control",280,"lab"
"287",1,3,"20","2760",1,"md_as_02","empathy","control",220,"lab"
"288",1,3,"21","2632",1,"md_as_02","empathy","control",160,"lab"
"289",1,3,"22","2294",1,"md_as_02","empathy","control",360,"lab"
"290",1,3,"23","1698",0,"md_as_02","empathy","control",40,"lab"
"291",1,3,"24","1725",0,"md_as_02","empathy","control",20,"lab"
"292",1,3,"25","1952",1,"md_as_02","empathy","control",320,"lab"
"293",1,3,"26","2649",1,"md_as_02","empathy","control",380,"lab"
"294",1,3,"27","1889",1,"md_as_02","empathy","control",340,"lab"
"295",1,3,"28","1917",0,"md_as_02","empathy","control",20,"lab"
"296",1,3,"29","1807",1,"md_as_02","empathy","control",280,"lab"
"297",1,3,"31","1983",0,"md_as_02","empathy","control",60,"lab"
"298",1,3,"32","2527",1,"md_as_02","empathy","control",380,"lab"
"299",1,3,"33","2322",1,"md_as_02","empathy","control",180,"lab"
"300",1,3,"34","1627",1,"md_as_02","empathy","control",340,"lab"
"301",1,1,"1","1769",1,"md_as_02","empathy","treatment",240,"lab"
"302",1,1,"2","1193",1,"md_as_02","empathy","treatment",380,"lab"
"303",1,1,"3","2693",0,"md_as_02","empathy","treatment",380,"lab"
"304",1,1,"4","3312",0,"md_as_02","empathy","treatment",120,"lab"
"305",1,1,"5","1606",1,"md_as_02","empathy","treatment",280,"lab"
"306",1,1,"6","1636",1,"md_as_02","empathy","treatment",300,"lab"
"307",1,1,"7","1883",1,"md_as_02","empathy","treatment",340,"lab"
"308",1,1,"8","2901",0,"md_as_02","empathy","treatment",160,"lab"
"309",1,1,"9","1311",1,"md_as_02","empathy","treatment",360,"lab"
"310",1,1,"10","1113",1,"md_as_02","empathy","treatment",300,"lab"
"311",1,1,"11","2515",0,"md_as_02","empathy","treatment",100,"lab"
"312",1,1,"12","2306",0,"md_as_02","empathy","treatment",60,"lab"
"313",1,1,"13","1156",1,"md_as_02","empathy","treatment",100,"lab"
"314",1,1,"14","1746",1,"md_as_02","empathy","treatment",380,"lab"
"315",1,1,"15","2574",1,"md_as_02","empathy","treatment",180,"lab"
"316",1,1,"16","1790",0,"md_as_02","empathy","treatment",60,"lab"
"317",1,1,"17","2612",1,"md_as_02","empathy","treatment",360,"lab"
"318",1,1,"18","3682",1,"md_as_02","empathy","treatment",160,"lab"
"319",1,1,"19","1518",1,"md_as_02","empathy","treatment",320,"lab"
"320",1,1,"20","2307",1,"md_as_02","empathy","treatment",340,"lab"
"321",1,1,"21","2194",0,"md_as_02","empathy","treatment",120,"lab"
"322",1,1,"22","3448",1,"md_as_02","empathy","treatment",220,"lab"
"323",1,1,"23","2469",0,"md_as_02","empathy","treatment",40,"lab"
"324",1,1,"24","2527",1,"md_as_02","empathy","treatment",360,"lab"
"325",1,1,"25","1696",1,"md_as_02","empathy","treatment",240,"lab"
"326",1,1,"26","2037",1,"md_as_02","empathy","treatment",360,"lab"
"327",1,1,"27","2204",0,"md_as_02","empathy","treatment",20,"lab"
"328",1,1,"28","3331",1,"md_as_02","empathy","treatment",180,"lab"
"329",1,1,"29","1497",1,"md_as_02","empathy","treatment",220,"lab"
"330",1,1,"30","1660",1,"md_as_02","empathy","treatment",320,"lab"
"331",1,1,"31","1932",1,"md_as_02","empathy","treatment",280,"lab"
"332",1,1,"32","1798",0,"md_as_02","empathy","treatment",20,"lab"
"333",1,1,"33","1987",0,"md_as_02","empathy","treatment",40,"lab"
"334",1,1,"34","1268",1,"md_as_02","empathy","treatment",380,"lab"
"335",1,2,"1","1565",1,"md_as_02","empathy","treatment",240,"lab"
"336",1,2,"2","1685",1,"md_as_02","empathy","treatment",380,"lab"
"337",1,2,"3","1287",0,"md_as_02","empathy","treatment",380,"lab"
"338",1,2,"4","1237",1,"md_as_02","empathy","treatment",120,"lab"
"339",1,2,"5","1715",1,"md_as_02","empathy","treatment",280,"lab"
"340",1,2,"6","1105",1,"md_as_02","empathy","treatment",300,"lab"
"341",1,2,"7","2866",1,"md_as_02","empathy","treatment",340,"lab"
"342",1,2,"8","1565",0,"md_as_02","empathy","treatment",160,"lab"
"343",1,2,"9","2463",1,"md_as_02","empathy","treatment",360,"lab"
"344",1,2,"10","2468",1,"md_as_02","empathy","treatment",300,"lab"
"345",1,2,"11","1801",0,"md_as_02","empathy","treatment",100,"lab"
"346",1,2,"12","2388",0,"md_as_02","empathy","treatment",60,"lab"
"347",1,2,"13","1458",1,"md_as_02","empathy","treatment",100,"lab"
"348",1,2,"15","2381",1,"md_as_02","empathy","treatment",180,"lab"
"349",1,2,"16","2722",0,"md_as_02","empathy","treatment",60,"lab"
"350",1,2,"17","1376",1,"md_as_02","empathy","treatment",360,"lab"
"351",1,2,"18","1994",1,"md_as_02","empathy","treatment",160,"lab"
"352",1,2,"19","1674",1,"md_as_02","empathy","treatment",320,"lab"
