"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_loss"
"268",1,2,30,1883,0,"md_as_14","reciprocity","treatment",40
"269",1,2,31,1593,1,"md_as_14","reciprocity","treatment",120
"270",1,2,32,1280,1,"md_as_14","reciprocity","treatment",380
"271",1,2,33,2224,0,"md_as_14","reciprocity","treatment",20
"272",1,2,34,1981,1,"md_as_14","reciprocity","treatment",180
"273",1,3,1,1311,0,"md_as_14","reciprocity","treatment",120
"274",1,3,2,1601,1,"md_as_14","reciprocity","treatment",380
"275",1,3,3,850,0,"md_as_14","reciprocity","treatment",360
"276",1,3,4,1192,0,"md_as_14","reciprocity","treatment",160
"277",1,3,5,2855,1,"md_as_14","reciprocity","treatment",360
"278",1,3,6,928,0,"md_as_14","reciprocity","treatment",100
"279",1,3,7,1274,0,"md_as_14","reciprocity","treatment",60
"280",1,3,8,745,0,"md_as_14","reciprocity","treatment",100
"281",1,3,9,1223,0,"md_as_14","reciprocity","treatment",380
"282",1,3,10,1418,1,"md_as_14","reciprocity","treatment",320
"283",1,3,11,1344,0,"md_as_14","reciprocity","treatment",300
"284",1,3,12,1014,0,"md_as_14","reciprocity","treatment",180
"285",1,3,13,840,0,"md_as_14","reciprocity","treatment",40
"286",1,3,14,717,0,"md_as_14","reciprocity","treatment",180
"287",1,3,15,1351,0,"md_as_14","reciprocity","treatment",360
"288",1,3,16,855,0,"md_as_14","reciprocity","treatment",280
"289",1,3,17,2446,0,"md_as_14","reciprocity","treatment",20
"290",1,3,18,1479,1,"md_as_14","reciprocity","treatment",340
"291",1,3,19,1198,0,"md_as_14","reciprocity","treatment",280
"292",1,3,20,1349,0,"md_as_14","reciprocity","treatment",120
"293",1,3,21,1563,1,"md_as_14","reciprocity","treatment",240
"294",1,3,22,1889,0,"md_as_14","reciprocity","treatment",40
"295",1,3,23,2432,0,"md_as_14","reciprocity","treatment",380
"296",1,3,24,729,0,"md_as_14","reciprocity","treatment",20
"297",1,3,25,1404,1,"md_as_14","reciprocity","treatment",340
"298",1,3,26,1326,1,"md_as_14","reciprocity","treatment",380
"299",1,3,27,2728,1,"md_as_14","reciprocity","treatment",360
"300",1,3,28,987,0,"md_as_14","reciprocity","treatment",160
"301",1,3,29,1017,0,"md_as_14","reciprocity","treatment",220
"302",1,3,30,1024,0,"md_as_14","reciprocity","treatment",220
"303",1,3,31,785,0,"md_as_14","reciprocity","treatment",60
"304",1,3,32,1597,0,"md_as_14","reciprocity","treatment",240
"305",1,3,33,1672,1,"md_as_14","reciprocity","treatment",320
"306",1,3,34,1202,1,"md_as_14","reciprocity","treatment",300
"307",1,1,1,1888,1,"md_as_14","reciprocity","control",120
"308",1,1,2,1371,1,"md_as_14","reciprocity","control",180
"309",1,1,3,1816,0,"md_as_14","reciprocity","control",220
"310",1,1,4,1115,1,"md_as_14","reciprocity","control",280
"311",1,1,5,2274,1,"md_as_14","reciprocity","control",100
"312",1,1,6,937,0,"md_as_14","reciprocity","control",160
"313",1,1,7,1228,0,"md_as_14","reciprocity","control",280
"314",1,1,8,990,1,"md_as_14","reciprocity","control",320
"315",1,1,9,1016,1,"md_as_14","reciprocity","control",300
"316",1,1,10,1388,0,"md_as_14","reciprocity","control",240
"317",1,1,11,1595,0,"md_as_14","reciprocity","control",40
"318",1,1,12,1845,1,"md_as_14","reciprocity","control",220
"319",1,1,13,1181,1,"md_as_14","reciprocity","control",340
"320",1,1,14,1437,1,"md_as_14","reciprocity","control",60
"321",1,1,15,1340,1,"md_as_14","reciprocity","control",360
"322",1,1,16,1600,1,"md_as_14","reciprocity","control",160
"323",1,1,17,1756,1,"md_as_14","reciprocity","control",360
"324",1,1,18,2053,1,"md_as_14","reciprocity","control",360
"325",1,1,19,3108,0,"md_as_14","reciprocity","control",380
"326",1,1,20,2245,1,"md_as_14","reciprocity","control",380
"327",1,1,21,1776,0,"md_as_14","reciprocity","control",20
"328",1,1,22,1137,0,"md_as_14","reciprocity","control",60
