"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_gain"
"245",1,2,7,2102,1,"md_as_13","reciprocity","decay",380
"246",1,2,8,1460,1,"md_as_13","reciprocity","decay",380
"247",1,2,9,1836,1,"md_as_13","reciprocity","decay",40
"248",1,2,10,1861,1,"md_as_13","reciprocity","decay",300
"249",1,2,11,1187,0,"md_as_13","reciprocity","decay",380
"250",1,2,12,2221,0,"md_as_13","reciprocity","decay",180
"251",1,2,13,1032,1,"md_as_13","reciprocity","decay",280
"252",1,2,14,1834,0,"md_as_13","reciprocity","decay",20
"253",1,2,15,1666,0,"md_as_13","reciprocity","decay",100
"254",1,2,16,1544,1,"md_as_13","reciprocity","decay",340
"255",1,2,17,2186,1,"md_as_13","reciprocity","decay",360
"256",1,2,18,1259,1,"md_as_13","reciprocity","decay",320
"257",1,2,19,1612,0,"md_as_13","reciprocity","decay",100
"258",1,2,20,1536,0,"md_as_13","reciprocity","decay",220
"259",1,2,21,1887,1,"md_as_13","reciprocity","decay",220
"260",1,2,22,1614,1,"md_as_13","reciprocity","decay",360
"261",1,2,23,2074,1,"md_as_13","reciprocity","decay",240
"262",1,2,24,1385,1,"md_as_13","reciprocity","decay",380
"263",1,2,25,2195,1,"md_as_13","reciprocity","decay",340
"264",1,2,26,1512,1,"md_as_13","reciprocity","decay",360
"265",1,2,27,1667,1,"md_as_13","reciprocity","decay",240
"266",1,2,28,2110,1,"md_as_13","reciprocity","decay",160
"267",1,2,29,1736,1,"md_as_13","reciprocity","decay",360
"268",1,2,30,1698,0,"md_as_13","reciprocity","decay",60
"269",1,2,31,2083,1,"md_as_13","reciprocity","decay",280
"270",1,2,32,2068,0,"md_as_13","reciprocity","decay",60
"271",1,2,33,2479,0,"md_as_13","reciprocity","decay",180
"272",1,2,34,1281,1,"md_as_13","reciprocity","decay",40
"273",1,3,1,1342,1,"md_as_13","reciprocity","decay",240
"274",1,3,2,1330,0,"md_as_13","reciprocity","decay",20
"275",1,3,3,1426,0,"md_as_13","reciprocity","decay",40
"276",1,3,4,994,1,"md_as_13","reciprocity","decay",320
"277",1,3,5,1817,1,"md_as_13","reciprocity","decay",180
"278",1,3,6,1818,0,"md_as_13","reciprocity","decay",60
"279",1,3,7,1401,1,"md_as_13","reciprocity","decay",100
"280",1,3,8,1816,0,"md_as_13","reciprocity","decay",120
"281",1,3,9,1166,1,"md_as_13","reciprocity","decay",280
"282",1,3,10,2025,0,"md_as_13","reciprocity","decay",300
"283",1,3,11,1619,0,"md_as_13","reciprocity","decay",160
