"","effect","id","regions","betas","measurement","measurement_value"
"307","initial","saulin_01_vp_38","mpfc",0.16525,"PT",-0.464530684511221
"308","initial","saulin_01_vp_38","mpfc",0.16525,"z_int",1.10809547326699
"309","initial","saulin_01_vp_38","mpfc",0.16525,"z_init",0.275074547928036
"310","initial","saulin_01_vp_38","mpfc",0.16525,"z_sust",-0.641897269118103
"311","initial","saulin_01_vp_39","TPJ",0.38037,"EC",1.86382940301969
"312","initial","saulin_01_vp_39","TPJ",0.38037,"PT",1.99390863044047
"313","initial","saulin_01_vp_39","TPJ",0.38037,"z_int",0.920853091436352
"314","initial","saulin_01_vp_39","TPJ",0.38037,"z_init",-0.194004897922087
"315","initial","saulin_01_vp_39","TPJ",0.38037,"z_sust",2.45067648436717
"316","initial","saulin_01_vp_39","mpfc",0.33967,"EC",1.86382940301969
"317","initial","saulin_01_vp_39","mpfc",0.33967,"PT",1.99390863044047
"318","initial","saulin_01_vp_39","mpfc",0.33967,"z_int",0.920853091436352
"319","initial","saulin_01_vp_39","mpfc",0.33967,"z_init",-0.194004897922087
"320","initial","saulin_01_vp_39","mpfc",0.33967,"z_sust",2.45067648436717
"321","initial","saulin_01_vp_40","TPJ",-0.1522,"EC",0.75583865191582
"322","initial","saulin_01_vp_40","TPJ",-0.1522,"PT",-1.38644542761811
"323","initial","saulin_01_vp_40","TPJ",-0.1522,"z_int",0.819386194729027
"324","initial","saulin_01_vp_40","TPJ",-0.1522,"z_init",-0.957510863806474
"325","initial","saulin_01_vp_40","TPJ",-0.1522,"z_sust",1.09949420568337
"326","initial","saulin_01_vp_40","mpfc",-0.91409,"EC",0.75583865191582
"327","initial","saulin_01_vp_40","mpfc",-0.91409,"PT",-1.38644542761811
"328","initial","saulin_01_vp_40","mpfc",-0.91409,"z_int",0.819386194729027
"329","initial","saulin_01_vp_40","mpfc",-0.91409,"z_init",-0.957510863806474
"330","initial","saulin_01_vp_40","mpfc",-0.91409,"z_sust",1.09949420568337
"331","initial","saulin_01_vp_41","TPJ",-1.7412,"EC",0.017178151179905
"332","initial","saulin_01_vp_41","TPJ",-1.7412,"PT",-1.07914051324914
"333","initial","saulin_01_vp_41","TPJ",-1.7412,"z_int",-1.93601220055551
"334","initial","saulin_01_vp_41","TPJ",-1.7412,"z_init",-1.30201985647628
"335","initial","saulin_01_vp_41","TPJ",-1.7412,"z_sust",1.72602808898545
"336","initial","saulin_01_vp_41","mpfc",-1.1357,"EC",0.017178151179905
"337","initial","saulin_01_vp_41","mpfc",-1.1357,"PT",-1.07914051324914
"338","initial","saulin_01_vp_41","mpfc",-1.1357,"z_int",-1.93601220055551
"339","initial","saulin_01_vp_41","mpfc",-1.1357,"z_init",-1.30201985647628
"340","initial","saulin_01_vp_41","mpfc",-1.1357,"z_sust",1.72602808898545
